normalized,conf,journal
29,AAAI,AAAI
20,AAAI,Artif. Intell.
14,AAAI,AI Mag.
10,AAAI,J. Artif. Intell. Res.
5,AAAI,ICIAAAAI
3,AAAI,DL
2,AAAI,Soc. Choice Welf.
2,AAAI,Mach. Learn.
2,AAAI,Theor. Comput. Sci.
2,AAAI,IEEE Trans. Pattern Anal. Mach. Intell.
2,AAAI,KR
2,AAAI,Auton. Agents Multi Agent Syst.
2,AAAI,J. Mach. Learn. Res.
2,AAAI,Int. J. Comput. Vis.
2,AAAI,Inf. Comput.
2,AAAI,Games Econ. Behav.
2,AAAI,Algorithmica
2,AAAI,AIES
1,AAAI,SIAM J. Discret. Math.
1,AAAI,J. Comput. Syst. Sci.
1,AAAI,J. ACM
1,AAAI,IEEE Trans. Knowl. Data Eng.
1,AAAI,ACM Trans. Economics and Comput.
1,AAAI,AAMAS
47,AAMAS,AAAI
42,AAMAS,IJCAI
12,AAMAS,ECAI
100,ALENEX,ACM J. Exp. Algorithmics
37,APPROX,Electron. Colloquium Comput. Complex.
17,APPROX,Algorithmica
11,APPROX,Theory Comput.
8,APPROX,Random Struct. Algorithms
6,APPROX,SIAM J. Discret. Math.
5,APPROX,Theor. Comput. Sci.
4,APPROX,IEEE Trans. Inf. Theory
4,APPROX,ACM Trans. Comput. Theory
4,APPROX,ACM Trans. Algorithms
4,APPROX,SIAM J. Comput.
3,APPROX,Comb. Probab. Comput.
2,APPROX,Math. Program.
2,APPROX,Discret. Appl. Math.
55,CC,PODC
46,CC,AAAI
68,CSR,Theory Comput. Syst.
24,CSR,Electron. Colloquium Comput. Complex.
9,CSR,Theor. Comput. Sci.
100,CVPR,AAAI
58,DISC,Distributed Comput.
17,DISC,PODC
9,DISC,IACR Cryptol. ePrint Arch.
7,DISC,Theor. Comput. Sci.
5,DISC,J. Parallel Distributed Comput.
4,DISC,J. Symb. Comput.
4,DISC,IEEE Trans. Parallel Distributed Syst.
35,ECAI,AAAI
26,ECAI,ECAI
15,ECAI,DL
13,ECAI,STAIRS
13,ECAI,Artif. Intell.
35,ESA,Algorithmica
11,ESA,Neurocomputing
9,ESA,SIAM J. Discret. Math.
8,ESA,ACM Trans. Algorithms
6,ESA,Theor. Comput. Sci.
5,ESA,Comput. Geom.
5,ESA,J. Comput. Syst. Sci.
4,ESA,SIAM J. Comput.
3,ESA,ESA
3,ESA,Discret. Comput. Geom.
3,ESA,J. Algorithms
3,ESA,ACM J. Exp. Algorithmics
2,ESA,J. Comput. Geom.
2,ESA,ACM Trans. Comput. Theory
2,ESA,Math. Program.
2,ESA,Inf. Comput.
2,ESA,Electron. Colloquium Comput. Complex.
2,ESA,Discret. Appl. Math.
1,ESA,J. Graph Algorithms Appl.
1,ESA,Random Struct. Algorithms
35,FOCS,SIAM J. Comput.
21,FOCS,Electron. Colloquium Comput. Complex.
15,FOCS,J. ACM
7,FOCS,IACR Cryptol. ePrint Arch.
6,FOCS,J. Comput. Syst. Sci.
3,FOCS,Comb.
2,FOCS,IEEE Trans. Inf. Theory
2,FOCS,Theor. Comput. Sci.
2,FOCS,Algorithmica
2,FOCS,Random Struct. Algorithms
2,FOCS,Theory Comput.
2,FOCS,Math. Oper. Res.
2,FOCS,Discret. Comput. Geom.
2,FOCS,Comput. Complex.
2,FOCS,J. Algorithms
1,FOCS,SIAM J. Discret. Math.
